<''algoritmo'',algoritmo>
<''declare'',declare>
<'IDENT',nome>
<'':'',:>
<''literal'',literal>
<''leia'',leia>
<''('',(>
<'IDENT',nome>
<'')'',)>
<''enquanto'',enquanto>
<'IDENT',nome>
<''<>'',<>>
<'CADEIA',"fim">
<''faca'',faca>
<''escreva'',escreva>
<''('',(>
<'CADEIA',"Ola,">
<'','',,>
<'IDENT',nome>
<'','',,>
<'CADEIA',", como vai?">
<'')'',)>
<''leia'',leia>
<''('',(>
<'IDENT',nome>
<'')'',)>
<''escreva'',escreva>
<''('',(>
<'CADEIA',"Nao ha mais ninguem? Entao, tchau!">
<'')'',)>
<''fim_algoritmo'',fim_algoritmo>
